Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002C0zA3QAJ/view"", ""IPNET (Telefônica Cloud)"")",Brazil,Premier,101,"$10,820,513.25",0,143,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1EpquIz41xu7RZPl-Y4nd-jTRbEl3qdAd8hJ53xxpd4M/edit#gid=0"", ""Open Partner Tracker ↗"")"
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002LRtwaQAD/view"", ""Kyndryl Brasil"")",Brazil,Premier,39,"$21,706,864.00",745,4183,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1wvMK5gSOkTNl-oRS6XbvQJmrHDdz73tqKcGpF6DCZ2I/edit#gid=0"", ""Open Partner Tracker ↗"")"
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h328CQAQ/view"", ""SantoDigital"")",Brazil,Premier,122,"$9,767,360.09",347,176,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1F5uhnmaF-eEeWYGQRsoI8mU7brFRQjVye5gD7R8D50E/edit#gid=0"", ""Open Partner Tracker ↗"")"
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002N6mbcQAB/view"", ""Sauter Tecnologia"")",Brazil,Premier,80,"$11,159,109.54",110,79,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1NKjJTPPOkss7UZIyE5G7LNdZydpICP20lfs0b4mS0LU/edit#gid=0"", ""Open Partner Tracker ↗"")"
TOTAL (All 4 Partners),-,-,-,342,"$53,453,846.88",1202,4581,-
