Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGFn5QAH/view"", ""Abacus Cambridge Partners"")",Regional / LATAM,Premier,17,"$1,863,578.00",8,18,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/12MNfhjMKbal2luFR-gXwco1IlCfVjaCXO4YHlpPD8ms/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001FY2FRIA1/view"", ""Gentrop Cloud Brasil"")",Brazil,Premier,69,"$16,946,008.08",44,11,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1F9UbQ-kaBHELme9Feh4fQCdujXnC7hRhQX9tWzFD9WM/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3BemQAE/view"", ""QiNetwork"")",Brazil,Premier,56,"$5,597,121.74",99,31,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1rt85jLUA_r0KvNGO_wJD3qYfzPHA9nl5w2bw2sqOO8s/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001qNF4FQAW/view"", ""Safetec Informática"")",Brazil,Premier,20,"$3,649,257.79",55,13,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1pfmHXAokv-KljvWUvHYL334NJpGpQK3jmPe9lxNzIng/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001uFlbSQAS/view"", ""VPN Soluçoes em TI LTDA (Venha para Nuvem)"")",Brazil,Premier,71,"$7,629,060.76",43,25,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1zcIQXnDbrR_WRhciVOD0XCN8RXK0_gHT0MUSExcqBbo/edit#gid=0"", ""Open Partner Tracker ↗"")"
TOTAL (All 5 Partners),-,-,-,233,"$35,685,026.37",249,98,-
