Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Jaquelyn Montañez,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39APQAY/view"", ""Noventiq (Softline)"")",Chile / Regional LATAM,Premier,39,"$3,442,887.00",75,22,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Rq5L7d_n1a34cTQGb8J-jHDejLcSdmnC18WLohWjsdU/edit#gid=0"", ""Open Partner Tracker ↗"")"
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS (Servinformación)"")",Colombia / Regional LATAM,Premier,266,"$30,461,574.35",502,251,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1H3cgdClncDnQDK9kY8s6U59jnfK_w4UmbE-z8dWexbs/edit#gid=0"", ""Open Partner Tracker ↗"")"
TOTAL (All 2 Partners),-,-,-,305,"$33,904,461.35",577,273,-
