Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h35nAQAQ/view"", ""CU2 CLOUD TEC STORE SL"")",Regional / Spain & LATAM,Premier,14,"$2,022,000.00",194,25,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1oPv0eexAbvaP_sGQx70X8gEiooR9dXCFuFv1QDFhUew/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001msBmRQAU/view"", ""Emergys Mexico"")",Mexico,Premier,14,"$1,569,236.00",14,3,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1hikFFuQ0QpDgBY_FtnLcqHpUiASexgSGsPYrCZUNMY4/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001F9DzjIAF/view"", ""NXN Consultores"")",Mexico,Premier,21,"$1,774,530.00",6,10,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Tt1P5qe8P7Q3GETH1KOuGdCPsf-MBQKaMtDx3S20wIk/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h36arQAA/view"", ""Nubosoft Servicios"")",Mexico,Premier,43,"$3,798,894.00",190,24,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/17eQt0Swei42yKenenPJ6Dq9jLEZR839BdnZMzfUMTNo/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JXkn6QAD/view"", ""U CLOUD STORE MÉXICO"")",Mexico,Premier,18,"$1,388,164.20",0,0,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1nT3bjmJlDTCd1khZdzW1QRlL_f6aTFSw6z9yhfO2cls/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002M7lcJQAR/view"", ""UCLOUD STORE COLOMBIA S A S"")",Colombia,Premier,17,"$728,877.84",0,6,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1yOtNpVu8O8QQFeRx96s8TmgUtKcXAHYBdsoiZSmnSOI/edit#gid=0"", ""Open Partner Tracker ↗"")"
"Ignacio Rauda, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001E75n9IAB/view"", ""Growth Partner Network (GPN)"")",Mexico / Chile,Premier,34,"$3,836,020.00",0,15,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1STeEh2SntjsXd-Ddse4YyBthPbWLql_bHB4HXIzRb2w/edit#gid=0"", ""Open Partner Tracker ↗"")"
TOTAL (All 7 Partners),-,-,-,161,"$15,117,722.04",404,83,-
