Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS (Servinformación)"")",Colombia / Regional LATAM,Premier,263,"$29,775,808.35",501,250,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1H3cgdClncDnQDK9kY8s6U59jnfK_w4UmbE-z8dWexbs/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGFn5QAH/view"", ""Abacus Cambridge Partners"")",Regional / LATAM,Premier,19,"$2,030,178.00",7,18,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/12MNfhjMKbal2luFR-gXwco1IlCfVjaCXO4YHlpPD8ms/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001FY2FRIA1/view"", ""Gentrop Cloud Brasil"")",Brazil,Premier,74,"$17,123,849.22",42,11,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1F9UbQ-kaBHELme9Feh4fQCdujXnC7hRhQX9tWzFD9WM/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3BemQAE/view"", ""QiNetwork"")",Brazil,Premier,54,"$4,831,765.09",98,31,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1rt85jLUA_r0KvNGO_wJD3qYfzPHA9nl5w2bw2sqOO8s/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001qNF4FQAW/view"", ""Safetec Informática"")",Brazil,Premier,26,"$1,766,856.88",55,13,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1pfmHXAokv-KljvWUvHYL334NJpGpQK3jmPe9lxNzIng/edit#gid=0"", ""Open Partner Tracker ↗"")"
Luna Longo,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001uFlbSQAS/view"", ""VPN Soluçoes em TI LTDA (Venha para Nuvem)"")",Brazil,Premier,74,"$7,120,060.76",37,25,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1zcIQXnDbrR_WRhciVOD0XCN8RXK0_gHT0MUSExcqBbo/edit#gid=0"", ""Open Partner Tracker ↗"")"
Oliver Hartley,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")",Chile,Premier,27,"$1,849,594.00",21,34,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1fkfQ5BFGu9tPyPUlxgWAK_NeA2gGiAn1TChTYP1R0d0/edit#gid=0"", ""Open Partner Tracker ↗"")"
Oliver Hartley,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Consiti (Consultoría y Soluciones Informáticas)"")",El Salvador / Central America,Premier,6,"$582,000.00",5,6,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/19dmL5AnjuOaDTb3GhJKeMIMKvXiVfD46TEKPNnf-yUg/edit#gid=0"", ""Open Partner Tracker ↗"")"
Oliver Hartley,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")",Chile,Premier,32,"$2,484,688.00",47,16,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1vd2wXMdXDfkR9Z0aWZo_OTNheduXQCza3bbeC8DPcc0/edit#gid=0"", ""Open Partner Tracker ↗"")"
Oliver Hartley,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MadeinWeb S/A"")",Brazil,Premier,44,"$8,611,944.84",21,5,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1PabQ-umTOYTkMg6n4__kP1VeFRc6SMxz_A0Yft3vrtw/edit#gid=0"", ""Open Partner Tracker ↗"")"
